,Milk,Peanut,Sesame,Tree nut
 f__Enterobacteriaceae,0,0,-0.12165752598393348,-0.12165752598393348
 f__Erysipelotrichaceae,0.2172244890133222,0.2172244890133222,0.2172244890133222,0.2172244890133222
 g__Adlercreutzia,0.13441374953790694,0.13441374953790694,0.13441374953790694,0.13441374953790694
 g__Akkermansia,0,0,-0.0963127013434399,-0.0963127013434399
 g__Bacteroides,0,0,-0.09281266963432937,-0.09281266963432937
 g__Bifidobacterium,0,-0.10259800972221886,-0.10259800972221886,-0.10259800972221886
 g__Dialister,-0.2464250787132041,-0.2464250787132041,-0.2464250787132041,-0.2464250787132041
 g__Eggerthella,0.2172576999012453,0.2172576999012453,0.2172576999012453,0.2172576999012453
 g__Escherichia,0,-0.11420188990311896,-0.11420188990311896,-0.11420188990311896
 g__Faecalibacterium,-0.1916805164066789,-0.2877617308613306,-0.2877617308613306,-0.2877617308613306
 g__Haemophilus,0,0.12719202467275692,0.12719202467275692,0.12719202467275692
 g__Lachnobacterium,-0.13269662099274107,-0.13269662099274107,-0.13269662099274107,-0.13269662099274107
 g__Megamonas,0,0.11870440021432485,0.11870440021432485,0.11870440021432485
 g__Megasphaera,-0.2178732657505093,-0.2178732657505093,-0.014581519910431245,-0.014581519910431245
 g__Methanobrevibacter,0,0.139861901032099,0.139861901032099,0.139861901032099
 g__Odoribacter,0,0.1361082978147236,0.1361082978147236,0.1361082978147236
 g__Phascolarctobacterium,0,0,0.242610784939034,0.242610784939034
 g__SMB53,0,-0.14457340466844154,-0.22479087663392208,-0.22479087663392208
 g__Sarcina,0,0,0.21968017173782944,0.21968017173782944
 g__Slackia,0,0,0.19537189811927586,0.19537189811927586
 g__Streptococcus,0.2347262963012796,0.2347262963012796,0.2347262963012796,0.2347262963012796
